Type,League,Class,Name,March,April,May,June,July,August,S13 August,S13 September,S13 October,End of Season,Post Season 13
Unique,SC,,Ghoulhide,2,2,2,2,2,2,3,4,4,4,4
Unique,SC,,Giant Skull,1,1,1,1,2,2,2,2,2,2,2
Unique,SC,,Gimmershred,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Ginther's Rift,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Gleamscythe,1,0,0,1,0(+1),0(+1),0(+2),0(+2),0(+2),0(+2),0(+2)
Unique,SC,,Gloom's Trap,2,1,1,1,2,2,1,1,2,2,1
Unique,SC,,Goblin Toe,9,10,10,9,8,8,8,8,8,8,8
Unique,SC,,Goldskin,4,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Goldstrike Arch,0,0,0,1,1,1,1,0,0,0,0(+1)
Unique,SC,,Goldwrap,74,65,64,57,59,60,56,52,53,53,52
Unique,SC,,Gore Rider,150,144,145,147,144,147,156,154,153,153,156
Unique,SC,,Gorefoot,0,0,0,1,1,1,1,0,0,0,1
Unique,SC,,Goreshovel,0,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Gravenspine,2,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Gravepalm,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Greyform,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Griffon's Eye,94,95,96,95,93,94,95,94,100,100,99
Unique,SC,,Grim's Burning Dead,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Griswold's Edge,1,0,0,0,,0,0,0,0,0,0
Unique,SC,,Guardian Angel,22,21,17,18,18,18,17,17,17,17,18
Unique,SC,,Guardian Naga,1,1,1,1,,0,0,0,0,0,0
Unique,SC,,Gull,11,12,9,8,10,9,9,7,7,7,7
Unique,SC,,Gut Siphon,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Halaberd's Reign,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Hand of Blessed Light,3,2,2,2,1(+1),1(+1),1(+1),1(+2),2(+2),2(+2),2(+2)
Unique,SC,,Harlequin Crest,401,387,384,389,388,391,392,396,395,395,390
Unique,SC,,Hawkmail,0,0,0,1,1,1,1,0,0,0,0
Unique,SC,,Head Hunter's Glory,0,0,0,0,,0,1,0,0,0,1
Unique,SC,,Headstriker,27,26,25,24,23,23,24,26,26,26,25
Unique,SC,,Heart Carver,3,2,3,3,3(+1),3(+1),3(+1),3(+1),3(+1),3(+1),3(+1)
Unique,SC,,Heavenly Garb,0,0,1,1,1,1,1,1,1,1,1
Unique,SC,,Heaven's Light,7,5,6,6,4(+1),4(+1),5(+1),5(+1),5(+1),5(+1),5(+1)
Unique,SC,,Hellcast,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Hellclap,0,0,0,1,1,0,0,0,0,0,0
Unique,SC,,Hellmouth,0,0,0,0,,0,1,1,1,1,1
Unique,SC,,Hellplague,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Hellrack,2,2,2,2,2,2,2,3,3,3,3
Unique,SC,,Hellslayer,0,0,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Herald Of Zakarum,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Hexfire,5,3,4,5,4(+1),4(+1),5(+1),5(+1),5(+1),5(+1),5(+1)
Unique,SC,,Highlord's Wrath,154,148,150,153,152,156,156,156,159,159,161
Unique,SC,,Homunculus,146,139,137,137,138,138,133,136,132,132,131
Unique,SC,,Hone Sundan,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Horizon's Tornado,0,1,2,2,1(+1),1(+1),1(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Hotspur,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Howltusk,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Humongous,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Husoldal Evo,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Iceblink,0,1,0,0,,0,0,0,0,0,0
Unique,SC,,Ichorsting,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Infernostride,6,7,8,8,8,8,8,7,7,7,6
Unique,SC,,Iron Pelt,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Ironstone,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Islestrike,2,2,2,2,1(+1),1(+1),1(+2),3(+1),3(+1),3(+1),3(+1)
Unique,SC,,Jade Talon,5,5,7,4,2(+1),2(+1),2(+1),2(+1),2(+1),2(+1),2(+1)
Unique,SC,,Jalal's Mane,86,84,86,85,78,79,81,79,79,79,80
Unique,SC,,Kelpie Snare,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Kinemil's Awl,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Kira's Guardian,11,10,10,10,9,9,10,7,7,7,7
Unique,SC,,Knell Striker,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Kuko Shakaku,2,2,2,3,2(+1),2(+1),2(+1),2(+1),2(+1),2(+1),2(+1)
Unique,SC,,Lacerator,4,4,4,3,3,3,3,3,3,3,3
Unique,SC,,Lance Guard,2,1,1,1,1,1,1,1,1,1,2
Unique,SC,,Lance of Yaggai,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Langer Briser,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Lava Gout,6,5,5,4,4,4,5,4,5,5,6
Unique,SC,,Leadcrow,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Lenymo,2,3,3,3,2,2,2,2,2,2,2
Unique,SC,,Leviathan,4,4,6,4,4,3,2,3,3,3,4
Unique,SC,,Lidless Wall,65,68,65,69,71,69,72,74,74,74,77
Unique,SC,,Lightsabre,24,21,19,22,22(+1),23(+1),22(+1),22(+1),22(+1),22(+1),22(+1)
Unique,SC,,Lycander's Aim,0,0,0,0,,0,0(+1),0(+1),0,0,0
Unique,SC,,Lycander's Flank,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Maelstrom,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Magefist,307,301,309,320,323,325,320,321,321,321,318
Unique,SC,,Magewrath,1,1,0,0,1,0(+1),0(+1),0,0(+1),0(+1),0(+1)
Unique,SC,,Manald Heal,47,38,35,36,38,39,37,36,34,34,34
Unique,SC,,Mang Song's Lesson,19,18,19,20,17(+3),16(+2),15(+1),17(+1),18(+1),18(+1),18(+1)
Unique,SC,,Mara's Kaleidoscope,270,287,287,292,300,299,294,289,291,291,293
Unique,SC,,Marrowwalk,14,16,17,16,16,15,17,18,20,20,18
Unique,SC,,Medusa's Gaze,154,160,164,170,173,173,172,176,180,180,179
Unique,SC,,Messerschmidt's Reaver,0,0,0,1,,0,0,0,0,0,0
Unique,SC,,Metalgrid,15,18,20,19,23,22,19,18,18,18,18
Unique,SC,,Moonfall,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Moser's Blessed Circle,4,3,2,3,4,4,4,4,3,3,3
Unique,SC,,Nagelring,142,135,126,123,120,118,116,118,114,114,109
Unique,SC,,Nature's Peace,25,22,24,23,25,25,28,29,31,31,29
Unique,SC,,Nightsmoke,12,11,11,12,10,10,10,8,8,8,8
Unique,SC,,Nightwing's Veil,23,28,31,30,30,28,32,31,33,33,34
Unique,SC,,Nokozan Relic,3,2,2,2,1,1,1,1,1,1,1
Unique,SC,,Nord's Tenderizer,0,0,0,0,,0,0,1,1,1,1
Unique,SC,,Nosferatu's Coil,9,10,12,11,10,10,11,9,9,9,9
Unique,SC,,Ondal's Wisdom,44,41,42,42,41(+1),41(+1),40,40,41,41,39
Unique,SC,,Ormus' Robes,10,12,12,11,10,9,9,10,11,11,11
Unique,SC,,Peasant Crown,6,5,5,4,4,4,4,4,4,4,4
Unique,SC,,Pelta Lunata,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Pierre Tombale Couant,0,0,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Plague Bearer,7,5,5,5,4,4,4(+1),4,4,4,4
Unique,SC,,Pluckeye,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Pompeii's Wrath,2,1,1,1,1,1,1,1,1,1,2
Unique,SC,,Pus Spitter,0,0,0,1,1,0,0,0,0,0,0
Unique,SC,,Que-Hegan's Wisdom,22,21,22,21,20,19,18,17,17,17,17
Unique,SC,,Radament's Sphere,29,27,33,34,39,41,40,38,38,38,39
Unique,SC,,Rakescar,2,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Rattlecage,1,1,1,0,,0,1,0,0,0,0
Unique,SC,,Raven Claw,1,1,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,Raven Frost,481,480,486,494,486,490,494,495,502,502,496
Unique,SC,,Ravenlore,20,20,19,22,23,23,25,25,25,25,24
Unique,SC,,Razor's Edge,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Razorswitch,2,2,2,2,2,2,2,2,2,2,2
Unique,SC,,Razortail,110,109,114,114,114,114,117,110,112,112,111
Unique,SC,,Razortine,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Ribcracker,1,0,1,1,2,2,2,2,2,2,2
Unique,SC,,Riphook,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Ripsaw,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Rixot's Keen,1,1,1,1,0(+1),0(+1),0(+1),0(+2),0(+2),0(+2),0(+1)
Unique,SC,,Rockfleece,1,1,1,1,1,1,0,0,0,0,0
Unique,SC,,Rockstopper,2,2,2,2,2,2,2,2,2,2,2
Unique,SC,,Rogue's Bow,1,1,1,1,0(+1),0(+1),1(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Rune Master,1,2,2,2,0(+2),0(+2),0(+3),0(+2),0(+2),0(+2),0(+2)
Unique,SC,,Rusthandle,1,1,1,1,0(+2),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Sandstorm Trek,68,66,73,76,78,77,73,77,79,79,77
Unique,SC,,Saracen's Chance,10,10,10,9,8,8,7,6,6,6,6
Unique,SC,,Schaefer's Hammer,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Seraph's Hymn,34,31,33,34,33,34,35,34,32,32,32
Unique,SC,,Serpent Lord,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Shadow Dancer,28,28,32,33,35,35,35,33,32,32,30
Unique,SC,,Shadow Killer,4,3,3,3,2(+1),2(+1),2(+1),2(+1),2(+1),2(+1),2(+1)
Unique,SC,,Shadowfang,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Shaftstop,4,5,6,5,5,5,5,7,5,5,4
Unique,SC,,Silks of the Victor,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Silkweave,189,187,192,200,207,208,212,212,214,214,215
Unique,SC,,Skewer of Krintiz,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Skin of the Flayed One,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Skin of the Vipermagi,173,159,160,160,162,161,163,165,164,164,164
Unique,SC,,Skull Collector,3,3,2,3,3,3,2,2,3,3,3
Unique,SC,,Skull Splitter,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Skullder's Ire,26,26,24,23,21,21,21,21,19,19,19
Unique,SC,,Skystrike,2,2,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,Snakecord,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Snowclash,8,8,6,7,7,7,8,8,7,7,7
Unique,SC,,Soul Drainer,34,34,39,39,40,39,39,41,40,40,39
Unique,SC,,Soul Harvest,0,0,0,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Soulfeast Tine,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Soulflay,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Sparking Mail,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Spectral Shard,1,1,1,1,,0,0,0,0,0,0
Unique,SC,,Spellsteel,5,4,3,5,5,5,6,6,6,6,6
Unique,SC,,Spike Thorn,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Spineripper,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Spire of Honor,1,1,0,0,,0,0,0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Spire of Lazarus,2,2,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,Spirit Forge,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Spirit Keeper,2,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Spirit Ward,1,2,3,3,3,4,4,3,3,3,3
Unique,SC,,Stealskull,3,2,2,2,2,1,1,1,1,1,1
Unique,SC,,Steel Carapace,2,2,1,1,1,1,1,2,2,2,2
Unique,SC,,Steel Pillar,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Steel Shade,3,4,4,4,4,4,3,3,3,3,3
Unique,SC,,Steelclash,0,0,1,0,,0,1,1,0,0,0
Unique,SC,,Steeldriver,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Steelgoad,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Steelrend,31,36,38,41,39,40,41,42,43,43,43
Unique,SC,,Stone Crusher,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,The Stone of Jordan,241,248,251,266,270,271,265,272,279,279,283
Unique,SC,,Stoneraven,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Stormchaser,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Stormeye,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Stormguild,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Stormlash,2,2,2,2,2,2,2,2,2,2,2
Unique,SC,,Stormrider,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Stormshield,118,118,121,123,127,127,137,137,138,138,141
Unique,SC,,Stormspike,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Stormspire,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Stormstrike,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Stoutnail,0,0,0,0,,0,0,0,0,0,0(+1)
Unique,SC,,String of Ears,131,130,134,137,134,135,134,137,135,135,137
Unique,SC,,Suicide Branch,3,3,4,5,3(+2),2(+2),2(+2),1(+2),2(+2),2(+2),2(+2)
Unique,SC,,Sureshrill Frost,1,2,0,2,0(+2),0(+2),0(+2),0(+2),0(+2),0(+2),0(+2)
Unique,SC,,Swordback Hold,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Swordguard,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Tarnhelm,3,2,2,2,3,2,2,2,2,2,2
Unique,SC,,Tearhaunch,12,13,12,12,12,11,11,11,11,11,12
Unique,SC,,Templar's Might,4,3,5,6,6,6,5,3,4,4,7
Unique,SC,,The Atlantean,1,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Battlebranch,0,0,0,0,,0,0,0,0,0,0(+1)
Unique,SC,,The Cat's Eye,61,63,67,66,64,65,67,71,73,73,69
Unique,SC,,The Centurion,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Chieftain,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Cranium Basher,3,4,3,3,3,2,2,3,5,5,5
Unique,SC,,The Diggler,0,0,0,1,0(+1),0(+1),0(+1),0(+1),0,0,1
Unique,SC,,The Dragon Chang,1,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,The Eye of Etlich,5,5,7,6,6,5,5,7,6,6,6
Unique,SC,,The Face of Horror,0,0,0,1,,0,1,0,0,0,1
Unique,SC,,The Fetid Sprinkler,1,1,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,The Gavel Of Pain,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The General's Tan Do Li Ga,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Gladiator's Bane,6,7,9,11,11,11,11,8,8,8,8
Unique,SC,,The Gnasher,1,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Grandfather,9,10,11,11,11,11,11,11,10,10,10
Unique,SC,,The Grim Reaper,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Hand of Broc,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Impaler,1,1,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),2(+1)
Unique,SC,,The Iron Jang Bong,4,4,4,4,2(+2),2(+2),2(+2),1(+2),1(+2),1(+2),1(+2)
Unique,SC,,The Jade Tan Do,1,1,2,2,1(+1),1(+1),1,1(+1),1(+1),1(+1),1(+1)
Unique,SC,,The Mahim-Oak Curio,2,2,1,1,1,1,1,1,1,1,1
Unique,SC,,The Meat Scraper,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Minotaur,0,1,1,1,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,The Oculus,29,24,22,21,21,20,22,23,23,23,23
Unique,SC,,The Patriarch,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Reaper's Toll,11,9,10,8,8,9,10,12,12,12,12
Unique,SC,,The Redeemer,2,2,2,2,1(+1),1(+1),1(+1),1(+1),1(+1),1(+1),1(+1)
Unique,SC,,The Rising Sun,2,1,1,1,2,2,2,2,2,2,2
Unique,SC,,The Salamander,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Scalper,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Spirit Shroud,2,2,2,1,1,0,1,0,0,0,0
Unique,SC,,The Tannr Gorerod,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Vile Husk,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,The Ward,10,10,10,9,9,9,9,9,9,9,9
Unique,SC,,Thundergod's Vigor,92,90,87,88,91,89,87,88,88,88,90
Unique,SC,,Thunderstroke,31,32,30,31,27(+3),26(+3),24(+3),25(+3),24(+3),24(+3),25(+3)
Unique,SC,,Tiamat's Rebuke,2,2,2,2,3,3,2,1,1,1,1
Unique,SC,,Titan's Revenge,53,53,52,50,45(+2),46(+2),47(+2),47(+2),44(+2),44(+2),45(+2)
Unique,SC,,Todesfaelle Flamme,4,4,2,2,1(+1),1(+1),1(+1),1(+1),2(+1),2(+1),2(+1)
Unique,SC,,Tomb Reaver,0,0,3,2,2,3(+1),2(+1),2(+1),3(+1),3(+1),2(+1)
Unique,SC,,Toothrow,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Torch of Iro,3,3,3,3,0(+3),0(+3),0(+2),0(+3),0(+3),0(+3),0(+3)
Unique,SC,,Treads of Cthon,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Twitchthroe,6,5,6,6,7,7,7,6,5,5,5
Unique,SC,,Tyrael's Might,7,7,8,8,9,9,9,9,8,8,8
Unique,SC,,Umbral Disk,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Ume's Lament,4,3,3,4,1(+3),1(+3),1(+3),0(+3),0(+4),0(+4),0(+4)
Unique,SC,,Undead Crown,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Valkyrie Wing,15,14,15,17,15,16,16,15,16,16,14
Unique,SC,,Vampire Gaze,19,20,22,20,20,20,20,20,19,19,19
Unique,SC,,Veil of Steel,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Venom Grip,5,5,5,6,6,6,6,5,5,5,5
Unique,SC,,Venom Ward,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Verdungo's Hearty Cord,145,150,156,159,164,161,164,162,161,161,159
Unique,SC,,Viperfork,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Visceratuant,1,1,1,1,1,1,1,1,1,1,1
Unique,SC,,Wall of the Eyeless,2,2,1,1,1,1,1,1,1,1,1
Unique,SC,,War Traveler,260,265,275,279,279,278,278,273,281,281,280
Unique,SC,,Warlord's Trust,0,0,0,0,,0,0,0,0,0,1
Unique,SC,,Warpspear,35,40,45,48,48,47,50,52,52,52,53
Unique,SC,,Warshrike,6,5,6,8,7,7,8,8,9,9,9
Unique,SC,,Waterwalk,21,21,21,21,21,21,19,18,18,18,18
Unique,SC,,Widowmaker,2,2,2,2,2,2,2,3,2,2,2
Unique,SC,,Windforce,17,14,15,14,13(+2),13(+1),12(+2),11(+2),12(+2),12(+2),12(+2)
Unique,SC,,Windhammer,1,2,2,2,1,1,1,1,0,0,0
Unique,SC,,Wisp Projector,211,212,218,218,223,228,229,229,235,235,233
Unique,SC,,Witchwild String,4,5,3,2,0(+1),0(+1),0(+1),0(+1),0(+1),0(+1),0(+1)
Unique,SC,,Witherstring,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Wizardspike,9,9,11,11,10(+1),10(+1),10(+2),10(+2),10(+2),10(+2),10(+2)
Unique,SC,,Wizendraw,2,2,2,2,1(+1),1(+1),1(+1),2(+1),2(+1),2(+1),2(+1)
Unique,SC,,Woestave,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Wolfhowl,5,4,4,5,5,5,5,5,5,5,5
Unique,SC,,Wormskull,0,0,0,0,,0,0,0,0,0,0
Unique,SC,,Wraith Flight,0,0,0,0,,0,1,1,1,0,0(+2)
Unique,SC,,Zakarum's Hand,2,2,2,2,1(+1),1(+1),1(+1),2(+1),2(+1),2(+1),2(+1)
Set,SC,,Angelic Sickle,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Angelic Mantle,1,1,0,0,,0,0,0,0,0,1
Set,SC,,Angelic Halo,104,99,98,99,91,87,87,84,80,80,81
Set,SC,,Angelic Wings,64,61,62,63,58,56,56,55,52,52,53
Set,SC,,Arcanna's Sign,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Arcanna's Deathwand,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Arcanna's Head,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Arcanna's Flesh,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Arctic Furs,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Arctic Binding,0,0,0,0,,0,1,0,0,0,0
Set,SC,,Arctic Mitts,1,1,1,1,,0,1,0,0,0,0
Set,SC,,Arctic Horn,0,0,0,0,,0,1,0,0,0,0
Set,SC,,Berserker's Headgear,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Berserker's Hauberk,0,0,0,0,,0,1,0,0,0,0
Set,SC,,Berserker's Hatchet,0,0,0,0,,0,1,0,0,0,0
Set,SC,,Cathan's Rule,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Cathan's Mesh,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Cathan's Visage,0,0,0,0,,0,1,0,0,0,0
Set,SC,,Cathan's Sigil,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Cathan's Seal,2,2,2,2,2,2,2,2,2,2,2
Set,SC,,Civerb's Ward,1,1,1,1,1,1,1,1,1,1,1
Set,SC,,Civerb's Icon,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Civerb's Cudgel,1,1,1,1,1,1,1,1,1,1,1
Set,SC,,Cleglaw's Tooth,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Cleglaw's Claw,2,2,2,2,2,2,2,2,1,1,1
Set,SC,,Cleglaw's Pincers,2,2,1,1,1,2,2,2,2,2,2
Set,SC,,Death's Hand,2,3,3,3,3,2,2,2,2,2,2
Set,SC,,Death's Touch,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Death's Guard,2,2,2,2,1,1,1,1,1,1,1
Set,SC,,Hsarus' Iron Heel,2,2,2,2,2,2,2,2,2,2,2
Set,SC,,Hsarus' Iron Fist,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Hsarus' Iron Stay,2,2,2,2,2,2,2,2,2,2,2
Set,SC,,Infernal Cranium,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Infernal Torch,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Infernal Sign,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Iratha's Collar,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Iratha's Cuff,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Iratha's Coil,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Iratha's Cord,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Isenhart's Lightbrand,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Isenhart's Parry,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Isenhart's Case,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Isenhart's Horns,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Milabrega's Orb,10,10,9,9,9,9,10,7,7,7,7
Set,SC,,Milabrega's Rod,2,2,2,1,1,1,1,1,1,1,1
Set,SC,,Milabrega's Diadem,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Milabrega's Robe,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Sigon's Visor,2,1,1,1,1,1,1,1,1,1,1
Set,SC,,Sigon's Shelter,2,1,1,1,1,1,1,1,1,1,1
Set,SC,,Sigon's Gage,2,1,1,1,1,1,1,1,1,1,1
Set,SC,,Sigon's Sabot,1,0,0,0,1,0,1,0,0,0,0
Set,SC,,Sigon's Wrap,3,2,2,4,5,5,4,4,4,4,4
Set,SC,,Sigon's Guard,9,7,8,7,8,7,8,8,8,8,8
Set,SC,,Tancred's Spine,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Tancred's Crowbill,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Tancred's Hobnails,2,1,1,2,1,1,2,2,2,2,2
Set,SC,,Tancred's Weird,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Tancred's Skull,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Vidala's Barb,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Vidala's Fetlock,8,8,12,12,12,12,9,11,9,9,9
Set,SC,,Vidala's Ambush,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Vidala's Snare,4,4,5,5,5,5,3,2,2,2,3
Set,SC,,Bul-Kathos' Sacred Charge,3,3,3,3,3,3,2,2,2,2,2
Set,SC,,Bul-Kathos' Tribal Guardian,3,3,3,2,2,2,2,2,2,2,2
Set,SC,,Cow King's Horns,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Cow King's Hide,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Cow King's Hooves,4,4,4,4,4,4,4,4,3,3,3
Set,SC,,Dangoon's Teaching,0,0,0,0,,0,0,0,0,0,2
Set,SC,,Taebaek's Glory,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Haemosu's Adamant,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Ondal's Almighty,3,3,3,3,3,3,3,3,3,3,3
Set,SC,,Hwanin's Splendor,0,0,0,0,,0,0,1,0,0,0
Set,SC,,Hwanin's Refuge,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Hwanin's Blessing,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Hwanin's Justice,0,0,0,0,,0,0,0,0,0,0
Set,SC,,Naj's Puzzler,45,42,40,39,42,41,39,37,37,37,39
