Type,Class,Name,March,April,May,June,July,August
Unique,,The Battlebranch,0,0,0,0,,0
Unique,,The Cat's Eye,61,63,67,66,64,65
Unique,,The Centurion,0,0,0,0,,0
Unique,,The Chieftain,0,0,0,0,,0
Unique,,The Cranium Basher,3,4,3,3,3,3
Unique,,The Diggler,0,0,0,1,0(+1),0(+1)
Unique,,The Dragon Chang,1,1,1,1,0(+1),0(+1)
Unique,,The Eye of Etlich,5,5,7,6,6,5
Unique,,The Face of Horror,0,0,0,1,,0
Unique,,The Fetid Sprinkler,1,1,2,2,1(+1),1(+1)
Unique,,The Gavel Of Pain,0,0,0,0,,0
Unique,,The General's Tan Do Li Ga,0,0,0,0,,0
Unique,,The Gladiator's Bane,6,7,9,11,11,11
Unique,,The Gnasher,1,0,0,0,,0
Unique,,The Grandfather,9,10,11,11,11,12
Unique,,The Grim Reaper,0,0,0,0,,0
Unique,,The Hand of Broc,0,0,0,0,,0
Unique,,The Impaler,1,1,2,2,1(+1),1(+1)
Unique,,The Iron Jang Bong,4,4,4,4,2(+2),2(+2)
Unique,,The Jade Tan Do,1,1,2,2,1(+1),1(+1)
Unique,,The Mahim-Oak Curio,2,2,1,1,1,1
Unique,,The Meat Scraper,0,0,0,0,,0
Unique,,The Minotaur,0,1,1,1,0(+1),0(+1)
Unique,,The Oculus,29,24,22,21,21,20
Unique,,The Patriarch,0,0,0,0,,0
Unique,,The Reaper's Toll,11,9,10,8,8,8
Unique,,The Redeemer,2,2,2,2,1(+1),1(+1)
Unique,,The Rising Sun,2,1,1,1,2,2
Unique,,The Salamander,0,0,0,0,,0
Unique,,The Scalper,0,0,0,0,,0
Unique,,The Spirit Shroud,2,2,2,1,1,0
Unique,,The Tannr Gorerod,0,0,0,0,,0
Unique,,The Vile Husk,0,0,0,0,,0
Unique,,The Ward,10,10,10,9,9,9
Unique,,Thundergod's Vigor,92,90,87,88,91,91
Unique,,Thunderstroke,31,32,30,31,27(+3),27(+3)
Unique,,Tiamat's Rebuke,2,2,2,2,3,3
Unique,,Titan's Revenge,53,53,52,50,45(+2),46(+2)
Unique,,Todesfaelle Flamme,4,4,2,2,1(+1),1(+1)
Unique,,Tomb Reaver,0,0,3,2,2,2
Unique,,Toothrow,0,0,0,0,,0
Unique,,Torch of Iro,3,3,3,3,0(+3),0(+3)
Unique,,Treads of Cthon,0,0,0,0,,0
Unique,,Twitchthroe,6,5,6,6,7,7
Unique,,Tyrael's Might,7,7,8,8,9,9
Unique,,Umbral Disk,0,0,0,0,,0
Unique,,Ume's Lament,4,3,3,4,1(+3),1(+3)
Unique,,Undead Crown,0,0,0,0,,0
Unique,,Valkyrie Wing,15,14,15,17,15,16
Unique,,Vampire Gaze,19,20,22,20,20,19
Unique,,Veil of Steel,1,1,1,1,1,1
Unique,,Venom Grip,5,5,5,6,6,6
Unique,,Venom Ward,0,0,0,0,,0
Unique,,Verdungo's Hearty Cord,145,150,156,159,164,162
Unique,,Viperfork,0,0,0,0,,0
Unique,,Visceratuant,1,1,1,1,1,1
Unique,,Wall of the Eyeless,2,2,1,1,1,1
Unique,,War Traveler,260,265,275,279,279,280
Unique,,Warlord's Trust,0,0,0,0,,0
Unique,,Warpspear,35,40,45,48,48,48
Unique,,Warshrike,6,5,6,8,7,7
Unique,,Waterwalk,21,21,21,21,21,21
Unique,,Widowmaker,2,2,2,2,2,2
Unique,,Windforce,17,14,15,14,13(+2),13(+2)
Unique,,Windhammer,1,2,2,2,1,1
Unique,,Wisp Projector,211,212,218,218,223,223
Unique,,Witchwild String,4,5,3,2,0(+1),0(+1)
Unique,,Witherstring,0,0,0,0,,0
Unique,,Wizardspike,9,9,11,11,10(+1),10(+1)
Unique,,Wizendraw,2,2,2,2,1(+1),1(+1)
Unique,,Woestave,0,0,0,0,,0
Unique,,Wolfhowl,5,4,4,5,5,5
Unique,,Wormskull,0,0,0,0,,0
Unique,,Wraith Flight,0,0,0,0,,0
Unique,,Zakarum's Hand,2,2,2,2,1(+1),1(+1)
Set,,Angelic Sickle,0,0,0,0,,0
Set,,Angelic Mantle,1,1,0,0,,0
Set,,Angelic Halo,104,99,98,99,91,90
Set,,Angelic Wings,64,61,62,63,58,58
Set,,Arcanna's Sign,0,0,0,0,,0
Set,,Arcanna's Deathwand,0,0,0,0,,0
Set,,Arcanna's Head,0,0,0,0,,0
Set,,Arcanna's Flesh,0,0,0,0,,0
Set,,Arctic Furs,0,0,0,0,,0
Set,,Arctic Binding,0,0,0,0,,0
Set,,Arctic Mitts,1,1,1,1,,0
Set,,Arctic Horn,0,0,0,0,,0
Set,,Berserker's Headgear,0,0,0,0,,0
Set,,Berserker's Hauberk,0,0,0,0,,0
Set,,Berserker's Hatchet,0,0,0,0,,0
Set,,Cathan's Rule,0,0,0,0,,0
Set,,Cathan's Mesh,0,0,0,0,,0
Set,,Cathan's Visage,0,0,0,0,,0
Set,,Cathan's Sigil,0,0,0,0,,0
Set,,Cathan's Seal,2,2,2,2,2,2
Set,,Civerb's Ward,1,1,1,1,1,1
Set,,Civerb's Icon,0,0,0,0,,0
Set,,Civerb's Cudgel,1,1,1,1,1,1
Set,,Cleglaw's Tooth,0,0,0,0,,0
Set,,Cleglaw's Claw,2,2,2,2,2,2
Set,,Cleglaw's Pincers,2,2,1,1,1,1
Set,,Death's Hand,2,3,3,3,3,3
Set,,Death's Touch,0,0,0,0,,0
Set,,Death's Guard,2,2,2,2,1,1
Set,,Hsarus' Iron Heel,2,2,2,2,2,2
Set,,Hsarus' Iron Fist,0,0,0,0,,0
Set,,Hsarus' Iron Stay,2,2,2,2,2,2
Set,,Infernal Cranium,0,0,0,0,,0
Set,,Infernal Torch,0,0,0,0,,0
Set,,Infernal Sign,0,0,0,0,,0
Set,,Iratha's Collar,0,0,0,0,,0
Set,,Iratha's Cuff,0,0,0,0,,0
Set,,Iratha's Coil,0,0,0,0,,0
Set,,Iratha's Cord,0,0,0,0,,0
Set,,Isenhart's Lightbrand,0,0,0,0,,0
Set,,Isenhart's Parry,0,0,0,0,,0
Set,,Isenhart's Case,0,0,0,0,,0
Set,,Isenhart's Horns,0,0,0,0,,0
Set,,Milabrega's Orb,10,10,9,9,9,9
Set,,Milabrega's Rod,2,2,2,1,1,1
Set,,Milabrega's Diadem,0,0,0,0,,0
Set,,Milabrega's Robe,0,0,0,0,,0
Set,,Sigon's Visor,2,1,1,1,1,1
Set,,Sigon's Shelter,2,1,1,1,1,1
Set,,Sigon's Gage,2,1,1,1,1,1
Set,,Sigon's Sabot,1,0,0,0,1,0
Set,,Sigon's Wrap,3,2,2,4,5,5
Set,,Sigon's Guard,9,7,8,7,8,7
Set,,Tancred's Spine,0,0,0,0,,0
Set,,Tancred's Crowbill,0,0,0,0,,0
Set,,Tancred's Hobnails,2,1,1,2,1,1
Set,,Tancred's Weird,0,0,0,0,,0
Set,,Tancred's Skull,0,0,0,0,,0
Set,,Vidala's Barb,0,0,0,0,,0
Set,,Vidala's Fetlock,8,8,12,12,12,12
Set,,Vidala's Ambush,0,0,0,0,,0
Set,,Vidala's Snare,4,4,5,5,5,5
Set,,Bul-Kathos' Sacred Charge,3,3,3,3,3,3
Set,,Bul-Kathos' Tribal Guardian,3,3,3,2,2,2
Set,,Cow King's Horns,0,0,0,0,,0
Set,,Cow King's Hide,0,0,0,0,,0
Set,,Cow King's Hooves,4,4,4,4,4,4
Set,,Dangoon's Teaching,0,0,0,0,,0
Set,,Taebaek's Glory,0,0,0,0,,0
Set,,Haemosu's Adamant,0,0,0,0,,0
Set,,Ondal's Almighty,3,3,3,3,3,3
Set,,Hwanin's Splendor,0,0,0,0,,0
Set,,Hwanin's Refuge,0,0,0,0,,0
Set,,Hwanin's Blessing,0,0,0,0,,0
Set,,Hwanin's Justice,0,0,0,0,,0
Set,,Naj's Puzzler,45,42,40,39,42,43
Set,,Naj's Light Plate,17,15,14,14,13,13
Set,,Naj's Circlet,1,1,0,0,,0
Set,,Guillaume's Face,34,38,41,39,39,39
Set,,Wilhelm's Pride,1,1,3,2,3,3
Set,,Magnus' Skin,2,2,4,3,3,3
Set,,Whitstan's Guard,1,1,1,1,1,1
Set,,Sander's Paragon,0,0,0,0,,0
Set,,Sander's Riprap,9,9,10,7,8,8
Set,,Sander's Taboo,0,0,1,1,,0
Set,,Sander's Superstition,0,0,0,0,,0
Set,,Sazabi's Cobalt Redeemer,0,0,0,0,,0
Set,,Sazabi's Ghost Liberator,0,0,0,0,,0
Set,,Sazabi's Mental Sheath,4,3,3,3,2,2
Set,,Telling of Beads,1,1,1,1,1,1
Set,,Laying of Hands,222,213,212,218,217,219
Set,,Rite of Passage,2,2,1,1,1,1
Set,,Dark Adherent,3,3,2,2,1,1
Set,,Credendum,20,16,16,16,15,15
Set,,Aldur's Stony Gaze,2,2,2,2,2,2
Set,,Aldur's Deception,3,3,3,2,2,2
Set,,Aldur's Rhythm,4,3,3,3,3,3
Set,,Aldur's Advance,198,194,185,185,180,178
Set,,Griswold's Valor,3,3,2,2,2,2
Set,,Griswold's Heart,2,2,2,2,2,2
Set,,Griswold's Redemption,1,1,1,1,1,1
Set,,Griswold's Honor,2,2,2,2,2,2
Set,,Immortal King's Will,39,38,36,34,31,32
Set,,Immortal King's Soul Cage,34,32,30,29,26,27
Set,,Immortal King's Detail,64,61,63,60,57,58
Set,,Immortal King's Forge,53,49,46,44,41,41
Set,,Immortal King's Pillar,49,46,45,44,40,41
Set,,Immortal King's Stone Crusher,35,34,34,33,30,30
Set,,M'avina's True Sight,17,10,13,11,11,11
Set,,M'avina's Embrace,15,10,12,10,11,11
Set,,M'avina's Icy Clutch,14,9,11,9,9,9
Set,,M'avina's Tenet,31,27,27,25,23,23
Set,,M'avina's Caster,13,6,9,7,7,7
Set,,Natalya's Totem,72,72,73,73,74,75
Set,,Natalya's Mark,78,79,82,80,83,83
Set,,Natalya's Shadow,72,72,73,73,75,76
Set,,Natalya's Soul,123,121,118,118,121,122
Set,,Tal Rasha's Fine-Spun Cloth,89,88,84,81,77,77
Set,,Tal Rasha's Adjudication,73,74,74,75,74,74
Set,,Tal Rasha's Lidless Eye,45,48,49,48,47,47
Set,,Tal Rasha's Guardianship,86,89,88,87,82,83
Set,,Tal Rasha's Horadric Crest,73,78,75,75,72,72
Set,,Trang-Oul's Guise,39,38,41,41,44,44
Set,,Trang-Oul's Scales,42,41,44,44,46,46
Set,,Trang-Oul's Wing,41,39,41,43,45,45
Set,,Trang-Oul's Claws,304,300,299,298,301,301
Set,,Trang-Oul's Girth,57,56,60,59,60,60
Runeword,,Ancients' Pledge,12,11,12,10,9,9
Runeword,,Beast,6,6,6,8,8,8
Runeword,,Black,3,4,4,4,3,3
Runeword,,Bone,23,23,24,24,23,23
Runeword,,Bramble,17,20,22,23,26,25
Runeword,,Brand,0,0,0,0,,0
Runeword,,Breath of the Dying,67,65,63,65,65,64
Runeword,,Bulwark,0,0,0,0,,0
Runeword,,Call To Arms,0,0,0,0,,0
Runeword,,Chains of Honor,54,60,69,71,71,71
Runeword,,Chaos,5,6,9,10,9,9
Runeword,,Crescent Moon,3,2,2,1,2,2
Runeword,,Cure,0,0,0,0,,0
Runeword,,Death,7,7,5,7,7,6
Runeword,,Delirium,0,0,0,0,,0
Runeword,,Destruction,0,0,0,0,,0
Runeword,,Doom,8,8,7,6,7,9
Runeword,,Dragon,14,16,22,24,24,23
Runeword,,Dream,5,6,7,12,13,13
Runeword,,Duress,7,7,7,6,6,7
Runeword,,Edge,55,56,58,60,60,59
Runeword,,Enigma,251,252,249,265,269,268
Runeword,,Enlightenment,1,1,1,1,1,1
Runeword,,Eternity,2,2,3,3,2,2
Runeword,,Exile,9,7,8,8,9,9
Runeword,,Faith,60,63,61,61,62,62
Runeword,,Famine,0,0,0,0,,0
Runeword,,Flickering Flame,0,0,1,1,1,0
Runeword,,Fortitude,162,164,165,165,165,165
Runeword,,Fury,0,0,0,0,1,1
Runeword,,Gloom,0,0,0,0,,0
Runeword,,Grief,50,57,58,58,60,59
Runeword,,Ground,0,0,0,0,,0
Runeword,,Hand of Justice,8,8,12,13,13,13
Runeword,,Harmony,37,35,37,41,41,40
Runeword,,Heart of the Oak,302,309,313,321,334,334
Runeword,,Hearth,0,0,0,0,,0
Runeword,,Holy Thunder,49,49,48,45,46,46
Runeword,,Honor,0,0,0,0,,0
Runeword,,Hustle,3,3,3,3,2,2
Runeword,,Ice,15,20,22,22,23,22
Runeword,,Infinity,1,0,0,1,1,1
Runeword,,Insight,2,0,0,1,1,0
Runeword,,King's Grace,0,0,0,0,,0
Runeword,,Kingslayer,0,1,0,0,,0
Runeword,,Last Wish,6,9,8,10,9,10
Runeword,,Lawbringer,4,4,6,7,5,5
Runeword,,Leaf,2,1,1,1,1,1
Runeword,,Lionheart,1,1,1,2,1,1
Runeword,,Lore,12,12,12,12,10,10
Runeword,,Malice,0,0,0,0,,0
Runeword,,Melody,0,0,0,0,,0
Runeword,,Memory,29,31,35,39,39,40
Runeword,,Metamorphosis,33,35,36,37,40,40
Runeword,,Mist,2,3,4,4,4,4
Runeword,,Mosaic,21,22,27,28,30,30
Runeword,,Myth,3,4,3,3,3,3
Runeword,,Nadir,0,0,0,0,,0
Runeword,,Oath,7,7,6,6,6,7
Runeword,,Obedience,4,3,4,4,4,4
Runeword,,Obsession,0,0,0,0,,0
Runeword,,Passion,0,0,0,0,,0
Runeword,,Pattern,3,2,2,2,2,2
Runeword,,Peace,8,8,8,8,7,7
Runeword,,Phoenix,152,159,164,170,176,177
Runeword,,Plague,82,85,85,85,87,87
Runeword,,Pride,0,0,0,0,,0
Runeword,,Principle,2,2,1,1,1,0
Runeword,,Prudence,1,1,1,1,1,1
Runeword,,Radiance,0,0,0,0,,0
Runeword,,Rain,46,42,44,43,42,42
Runeword,,Rhyme,22,22,21,20,15,15
Runeword,,Rift,0,0,0,0,,0
Runeword,,Sanctuary,0,0,0,0,,0
Runeword,,Silence,56,57,53,55,55,55
Runeword,,Smoke,14,14,11,9,10,10
Runeword,,Spirit,775,749,735,725,706,706
Runeword,,Splendor,10,9,8,6,6,6
Runeword,,Stealth,9,6,6,5,4,4
Runeword,,Steel,0,0,0,0,,0
Runeword,,Stone,1,1,1,1,1,1
Runeword,,Strength,1,1,2,2,2,2
Runeword,,Temper,0,0,0,0,,0
Runeword,,Treachery,33,31,34,35,35,35
Runeword,,Unbending Will,2,1,1,1,1,1
Runeword,,Venom,0,0,0,0,,0
Runeword,,Voice of Reason,0,0,0,0,,0
Runeword,,Wealth,1,1,2,1,1,1
Runeword,,White,2,3,6,6,7,7
Runeword,,Wind,0,0,0,0,,0
Runeword,,Wisdom,3,2,2,2,2,2
Runeword,,Wrath,1,1,1,1,1,1
Runeword,,Zephyr,0,0,0,0,,0
Runeword,,Call to Arms,248,265,268,276,282,282
Unique,,Frostbite,2,2,2,2,2,2
Unique,,Herald of Zakarum,45,49,48,50,51,52
Unique,,Swiftheart,5,6,6,6,6,6
Unique,,Blade of Ali Baba,31,28,26,26,26(+2),25(+2)
Unique,,Hailstorm,16,17,15,15,16,16
Unique,,Moonfire,12,12,11,11,12,12
Unique,,Dragonbreath,7,6,6,6,6,6
Runeword,,2693,4,4,5,6,7,7
Unique,,FrostbiteB,1,1,2,3,2,2
Runeword,,-26,1,2,2,2,2,2
Mercenary,,Treachery,0,0,0,0,252,0
Mercenary,,Vampire Gaze,0,0,0,0,157,0
Mercenary,,Insight,0,0,0,0,241,0
Mercenary,,Steel Shade,0,0,0,0,273,0
Mercenary,,Doom,0,0,0,0,20,0
Mercenary,,Tal Rasha's Horadric Crest,0,0,0,0,261,0
Mercenary,,Harmony,0,0,0,0,42,0
Mercenary,,Shaftstop,0,0,0,0,149,0
Mercenary,,Infinity,0,0,0,0,338,0
Mercenary,,The Gladiator's Bane,0,0,0,0,85,0
Mercenary,,The Reaper's Toll,0,0,0,0,99,0
Mercenary,,Andariel's Visage,0,0,0,0,166,0
Mercenary,,Fortitude,0,0,0,0,226,0
Mercenary,,Blackhorn's Face,0,0,0,0,9,0
Mercenary,,Guardian Angel,0,0,0,0,38,0
Mercenary,,Kira's Guardian,0,0,0,0,15,0
Mercenary,,Lawbringer,0,0,0,0,87,0
Mercenary,,Plague,0,0,0,0,34,0
Mercenary,,Phoenix,0,0,0,0,8,0
Mercenary,,Hustle,0,0,0,0,9,0
Mercenary,,Silence,0,0,0,0,44,0
Mercenary,,Griffon's Eye,0,0,0,0,2,0
Mercenary,,Skin of the Vipermagi,0,0,0,0,10,0
Mercenary,,Azurewrath,0,0,0,0,8,0
Mercenary,,Spirit,0,0,0,0,33,0
Mercenary,,Black Hades,0,0,0,0,7,0
Mercenary,,Leviathan,0,0,0,0,71,0
Mercenary,,Sazabi's Mental Sheath,0,0,0,0,3,0
Mercenary,,Bonehew,0,0,0,0,13,0
Mercenary,,Breath of the Dying,0,0,0,0,8,0
Mercenary,,Naj's Light Plate,0,0,0,0,14,0
Mercenary,,Stormshield,0,0,0,0,21,0
Mercenary,,Culwen's Point,0,0,0,0,5,0
Mercenary,,Gerke's Sanctuary,0,0,0,0,7,0
Mercenary,,Duriel's Shell,0,0,0,0,89,0
Mercenary,,Faith,0,0,0,0,6,0
Mercenary,,Bulwark,0,0,0,0,11,0
Mercenary,,Crown of Ages,0,0,0,0,21,0
Mercenary,,Harlequin Crest,0,0,0,0,8,0
Mercenary,,Tyrael's Might,0,0,0,0,2,0
Mercenary,,Arkaine's Valor,0,0,0,0,6,0
Mercenary,,Pride,0,0,0,0,8,0
Mercenary,,The Ward,0,0,0,0,5,0
Mercenary,,Crown of Thieves,0,0,0,0,46,0
Mercenary,,The Grandfather,0,0,0,0,14,0
Mercenary,,Hearth,0,0,0,0,5,0
Mercenary,,Twitchthroe,0,0,0,0,4,0
Mercenary,,Buriza-Do Kyanon,0,0,0,0,8,0
Mercenary,,Guillaume's Face,0,0,0,0,21,0
Mercenary,,Last Wish,0,0,0,0,3,0
Mercenary,,Steel Carapace,0,0,0,0,7,0
Mercenary,,Obedience,0,0,0,0,39,0
Mercenary,,Dream,0,0,0,0,6,0
Mercenary,,Skin of the Flayed One,0,0,0,0,10,0
Mercenary,,Crescent Moon,0,0,0,0,1,0
Mercenary,,Chains of Honor,0,0,0,0,5,0
Mercenary,,Tiamat's Rebuke,0,0,0,0,1,0
Mercenary,,Fiendra Brow,0,0,0,0,1,0
Mercenary,,Smoke,0,0,0,0,22,0
Mercenary,,Scale Mail of Thorns,0,0,0,0,1,0
Mercenary,,Demon Crest,0,0,0,0,1,0
Mercenary,,Dimoak's Hew,0,0,0,0,1,0
Mercenary,,Templar's Might,0,0,0,0,1,0
Mercenary,,Natalya's Totem,0,0,0,0,9,0
Mercenary,,Flamebellow,0,0,0,0,2,0
Mercenary,,Corpsemourn,0,0,0,0,3,0
Mercenary,,Duress,0,0,0,0,7,0
Mercenary,,Enigma,0,0,0,0,1,0
Mercenary,,Windforce,0,0,0,0,1,0
Mercenary,,Grief,0,0,0,0,1,0
Mercenary,,Oath,0,0,0,0,2,0
Mercenary,,Headstriker,0,0,0,0,5,0
Mercenary,,Giant Skull,0,0,0,0,8,0
Mercenary,,Hwanin's Splendor,0,0,0,0,3,0
Mercenary,,Unbending Will,0,0,0,0,4,0
Mercenary,,Duskdeep,0,0,0,0,5,0
Mercenary,,Arreat's Face,0,0,0,0,11,0
Mercenary,,Sigon's Guard,0,0,0,0,2,0
Mercenary,,Arioc's Needle,0,0,0,0,3,0
Mercenary,,Ondal's Almighty,0,0,0,0,2,0
Mercenary,,Tal Rasha's Guardianship,0,0,0,0,8,0
Mercenary,,Stealskull,0,0,0,0,15,0
Mercenary,,Passion,0,0,0,0,1,0
Mercenary,,Rockfleece,0,0,0,0,6,0
Mercenary,,Griswold's Valor,0,0,0,0,1,0
Mercenary,,Stone,0,0,0,0,9,0
Mercenary,,Tomb Reaver,0,0,0,0,21,0
Mercenary,,Holocaust Circlet,0,0,0,0,1,0
Mercenary,,Lidless Wall,0,0,0,0,2,0
Mercenary,,Veil of Steel,0,0,0,0,6,0
Mercenary,,Silks of the Victor,0,0,0,0,2,0
Mercenary,,Gloom,0,0,0,0,2,0
Mercenary,,Destruction,0,0,0,0,1,0
Mercenary,,Toothrow,0,0,0,0,5,0
Mercenary,,Blade of Ali Baba,0,0,0,0,2,0
Mercenary,,Sazabi's Ghost Liberator,0,0,0,0,1,0
Mercenary,,Sazabi's Cobalt Redeemer,0,0,0,0,1,0
Mercenary,,M'avina's True Sight,0,0,0,0,1,0
Mercenary,,2693,0,0,0,0,2,0
Mercenary,,Blackoak Shield,0,0,0,0,2,0
Mercenary,,Bramble,0,0,0,0,3,0
Mercenary,,Arctic Furs,0,0,0,0,1,0
Mercenary,,Arctic Horn,0,0,0,0,1,0
Mercenary,,Prudence,0,0,0,0,1,0
Mercenary,,Pus Spitter,0,0,0,0,1,0
Mercenary,,Edge,0,0,0,0,1,0
Mercenary,,Cruel Visor,0,0,0,0,1,0
Mercenary,,Hard Leather Armor of Thorns,0,0,0,0,1,0
Mercenary,,Storm Quill,0,0,0,0,1,0
Mercenary,,Bloodletter,0,0,0,0,1,0
Mercenary,,Hailstone Shell,0,0,0,0,1,0
Mercenary,,Plague Bearer,0,0,0,0,2,0
Mercenary,,Moser's Blessed Circle,0,0,0,0,2,0
Mercenary,,Death Hide,0,0,0,0,1,0
Mercenary,,Isenhart's Horns,0,0,0,0,2,0
Mercenary,,Razortine,0,0,0,0,1,0
Mercenary,,Lionheart,0,0,0,0,6,0
Mercenary,,Rattlecage,0,0,0,0,3,0
Mercenary,,Rockstopper,0,0,0,0,8,0
Mercenary,,Spirit Brow,0,0,0,0,1,0
Mercenary,,Naj's Circlet,0,0,0,0,6,0
Mercenary,,Cap,0,0,0,0,2,0
Mercenary,,Swordguard,0,0,0,0,3,0
Mercenary,,Darkglow,0,0,0,0,3,0
Mercenary,,Cathan's Visage,0,0,0,0,1,0
Mercenary,,Holocaust Hood,0,0,0,0,1,0
Mercenary,,Undead Crown,0,0,0,0,3,0
Mercenary,,Spetum of the Leech,0,0,0,0,1,0
Mercenary,,Atma's Wail,0,0,0,0,1,0
Mercenary,,Trang-Oul's Scales,0,0,0,0,2,0
Mercenary,,Stone Crest,0,0,0,0,1,0
Mercenary,,Goldskin,0,0,0,0,7,0
Mercenary,,Iron Pelt,0,0,0,0,1,0
Mercenary,,Steel Pillar,0,0,0,0,2,0
Mercenary,,Death Mask,0,0,0,0,1,0
Mercenary,,Immortal King's Soul Cage,0,0,0,0,1,0
Mercenary,,Hard Leather Armor,0,0,0,0,1,0
Mercenary,,Short Bow,0,0,0,0,1,0
Mercenary,,Viperfork,0,0,0,0,3,0
Mercenary,,Griswold's Heart,0,0,0,0,7,0
Mercenary,,Lore,0,0,0,0,1,0
Mercenary,,Todesfaelle Flamme,0,0,0,0,4,0
Mercenary,,Spirit Hood,0,0,0,0,1,0
Mercenary,,Holocaust Casque,0,0,0,0,1,0
Mercenary,,Spirit Forge,0,0,0,0,2,0
Mercenary,,Corpse Scratch,0,0,0,0,1,0
Mercenary,,Lightsabre,0,0,0,0,2,0
Mercenary,,War Hat,0,0,0,0,1,0
Mercenary,,Hailstone Cowl,0,0,0,0,1,0
Mercenary,,Raven Cloak,0,0,0,0,1,0
Mercenary,,Blackleach Blade,0,0,0,0,1,0
Mercenary,,GhoulRI Hew,0,0,0,0,1,0
Mercenary,,Dark Adherent,0,0,0,0,1,0
Mercenary,,Darksight Helm,0,0,0,0,2,0
Mercenary,,Loath Hide,0,0,0,0,1,0
Mercenary,,Rune Skewer,0,0,0,0,1,0
Mercenary,,The Meat Scraper,0,0,0,0,1,0
Mercenary,,Boneflesh,0,0,0,0,1,0
Mercenary,,Athena's Wrath,0,0,0,0,1,0
Mercenary,,Mask,0,0,0,0,1,0
Mercenary,,Brimstone Mask,0,0,0,0,1,0
Mercenary,,Wormskull,0,0,0,0,3,0
Mercenary,,Stealth,0,0,0,0,5,0
Mercenary,,Blood Mask,0,0,0,0,1,0
Mercenary,,Heavenly Garb,0,0,0,0,2,0
Mercenary,,Isenhart's Case,0,0,0,0,1,0
Mercenary,,Berserker's Headgear,0,0,0,0,1,0
Mercenary,,Rune Stake,0,0,0,0,1,0
Mercenary,,Nightwing's Veil,0,0,0,0,1,0
Mercenary,,Field Plate,0,0,0,0,1,0
Mercenary,,Skull Cap,0,0,0,0,2,0
Mercenary,,Lance of Yaggai,0,0,0,0,1,0
Mercenary,,Shadow Shell,0,0,0,0,1,0
Mercenary,,Doom Visor,0,0,0,0,1,0
Mercenary,,Ice,0,0,0,0,1,0
Mercenary,,Bing Sz Wang,0,0,0,0,3,0
Mercenary,,Infernal Cranium,0,0,0,0,1,0
Mercenary,,Pelta Lunata,0,0,0,0,1,0
Mercenary,,Natalya's Shadow,0,0,0,0,2,0
Mercenary,,Spike Thorn,0,0,0,0,1,0
Mercenary,,Pain Veil,0,0,0,0,1,0
Mercenary,,Ocher Ring Mail of the Jackal,0,0,0,0,1,0
Mercenary,,Full Helm of Energy,0,0,0,0,1,0
Mercenary,,Bloodthief,0,0,0,0,1,0
Mercenary,,Spirit Hide,0,0,0,0,1,0
Mercenary,,Howltusk,0,0,0,0,2,0
Mercenary,,Cleglaw's Tooth,0,0,0,0,1,0
Mercenary,,The Vile Husk,0,0,0,0,2,0
Mercenary,,Bloodmoon,0,0,0,0,1,0
Mercenary,,Dusk Shroud,0,0,0,0,1,0
Mercenary,,Haemosu's Adamant,0,0,0,0,2,0
Mercenary,,Bone Helm,0,0,0,0,1,0
Mercenary,,Strong Breast Plate,0,0,0,0,1,0
Mercenary,,Russet Cap of Self-Repair,0,0,0,0,1,0
Mercenary,,Scythe,0,0,0,0,1,0
Mercenary,,Dread Crest,0,0,0,0,1,0
Mercenary,,Eagle Wrap,0,0,0,0,1,0
Mercenary,,Storm Mar,0,0,0,0,1,0
Mercenary,,Havoc Wing,0,0,0,0,1,0
Mercenary,,Havoc Horn,0,0,0,0,1,0
Mercenary,,Chain Mail,0,0,0,0,1,0
Mercenary,,Harpoonist's Pike,0,0,0,0,1,0
Mercenary,,Sigon's Visor,0,0,0,0,1,0
Mercenary,,Demonhorn's Edge,0,0,0,0,1,0
Mercenary,,Jeweler's Diadem of Speed,0,0,0,0,1,0
Mercenary,,Que-Hegan's Wisdom,0,0,0,0,2,0
Mercenary,,Demon Pelt,0,0,0,0,1,0
Mercenary,,GhoulRI Needle,0,0,0,0,1,0
Mercenary,,Bul-Kathos' Sacred Charge,0,0,0,0,1,0
Mercenary,,Tancred's Skull,0,0,0,0,1,0
Mercenary,,Rhyme,0,0,0,0,1,0
Mercenary,,Rune Mask,0,0,0,0,1,0
Mercenary,,Dire Veil,0,0,0,0,1,0
Mercenary,,Ancients' Pledge,0,0,0,0,1,0
Mercenary,,Peasant Crown,0,0,0,0,2,0
Mercenary,,Hellrack,0,0,0,0,1,0
Mercenary,,Gale Casque,0,0,0,0,1,0
Mercenary,,Hexfire,0,0,0,0,1,0
Mercenary,,Bul-Kathos' Tribal Guardian,0,0,0,0,1,0
Mercenary,,Doom Shell,0,0,0,0,1,0
Mercenary,,Mesh Armor,0,0,0,0,1,0
Mercenary,,Wraithra Flange,0,0,0,0,1,0
Mercenary,,Blinkbat's Form,0,0,0,0,1,0
Mercenary,,Biggin's Bonnet,0,0,0,0,1,0
Mercenary,,Steelgoad,0,0,0,0,1,0
Mercenary,,Honor,0,0,0,0,1,0
Mercenary,,M'avina's Embrace,0,0,0,0,1,0
Mercenary,,Dread Bite,0,0,0,0,1,0
Mercenary,,Ring Mail,0,0,0,0,1,0
Mercenary,,Trident,0,0,0,0,1,0
Mercenary,,Bitter Shroud,0,0,0,0,1,0
Mercenary,,Hone Sundan,0,0,0,0,1,0
